videoId,textDisplay,textOriginal,authorDisplayName,authorProfileImageUrl,authorChannelUrl,authorChannelId.value,canRate,viewerRating,likeCount,publishedAt,updatedAt,id,parentId,moderationStatus
Hh0ioHFszOo,Packaging the monotony of corporate life. You guys actually did a good job of it.,Packaging the monotony of corporate life. You guys actually did a good job of it.,Govind S,https://yt3.ggpht.com/a/AATXAJz_C6ljkVl65ZUI5C6XuSIbjK98AfltxnoBhvLA=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UC9FgW4CT0ai4m9c8EyGam2g,UC9FgW4CT0ai4m9c8EyGam2g,TRUE,none,3,2019-11-24T17:24:48Z,2019-11-24T17:24:48Z,UgyR3KDlfi_fwDTguNF4AaABAg,NA,NA
Hh0ioHFszOo,gojek india,gojek india,fitra maulana,https://yt3.ggpht.com/a/AATXAJyY1WohfhQ6RV5t9n7xWI12D4ZIdcZ2lu05at_u=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UClLaYh2clRStRXpYWcBlqCw,UClLaYh2clRStRXpYWcBlqCw,TRUE,none,1,2019-10-26T21:14:03Z,2019-10-26T21:14:03Z,Ugy9jqYtgpZzWmLh92J4AaABAg,NA,NA
Hh0ioHFszOo,Isko mic de do koi,Isko mic de do koi,Rishav,https://yt3.ggpht.com/a/AATXAJxFlKn3gbeSOKPpoN4JZvNdzCTsGXundC6e56Yv=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCAPv5e9zBfU4-2ekudxnxSw,UCAPv5e9zBfU4-2ekudxnxSw,TRUE,none,0,2019-10-22T12:07:36Z,2019-10-22T12:07:36Z,UgxctkStb7MaBLN7AEN4AaABAg,NA,NA
Hh0ioHFszOo,awesome.... 👍👍<br />salam satu aspal dari driver soloraya,"awesome.... 👍👍
salam satu aspal dari driver soloraya",Lading Kethul,https://yt3.ggpht.com/a/AATXAJxdFHnSNJy_c7VRxb_XD4kI81fNS2caE8wgU-k_XA=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCgy69onxTWYFxp6L43SgjAA,UCgy69onxTWYFxp6L43SgjAA,TRUE,none,2,2019-10-12T03:17:35Z,2019-10-12T03:17:35Z,UgwrrG2VtbyUQ6hg0KF4AaABAg,NA,NA
Hh0ioHFszOo,This video gives me an American company vibe. Very nice!,This video gives me an American company vibe. Very nice!,Krawna,https://yt3.ggpht.com/a/AATXAJwt7uL4VTlbE4XBKM-PkJwGVt_1PU_M1W9VfYQ=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UC0Pxvik_iKZxQVQFzcwjgww,UC0Pxvik_iKZxQVQFzcwjgww,TRUE,none,1,2019-10-07T04:02:38Z,2019-10-07T04:02:38Z,UgxRO3vRo6tC0vvAfJd4AaABAg,NA,NA
Hh0ioHFszOo,Amazing office and team. What’s the entire Gojek workforce now?,Amazing office and team. What’s the entire Gojek workforce now?,Ajay Ajay,https://yt3.ggpht.com/a/AATXAJzDxylreyGyaOa3twchDcB_3KBGQeYoqKdWai5DiA=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UClJh5FKPN1VV_0s07Vafgcg,UClJh5FKPN1VV_0s07Vafgcg,TRUE,none,2,2019-10-04T20:14:33Z,2019-10-04T20:14:33Z,UgxVNfrAdlReu-uNHNB4AaABAg,NA,NA
Hh0ioHFszOo,Amazing,Amazing,Gursimran Singh,https://yt3.ggpht.com/a/AATXAJzvJqK2LgK74mOM45w3Z3tAGdluDbjuhkK8iR9z-cY=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCDpjQUuAEn7cwsD3wYVX0TA,UCDpjQUuAEn7cwsD3wYVX0TA,TRUE,none,2,2019-10-03T18:03:00Z,2019-10-03T18:03:00Z,Ugy4LKCJL4xsu7hnno54AaABAg,NA,NA
Hh0ioHFszOo,Great office and love the working environment :),Great office and love the working environment :),liccowee,https://yt3.ggpht.com/a/AATXAJxf1pU8RyKCd-46cJOZIRUyJQqv7KrbHksMGMBoDA=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCjXKNSZxZL4GMQaF2K_FeKg,UCjXKNSZxZL4GMQaF2K_FeKg,TRUE,none,3,2019-10-03T15:45:35Z,2019-10-03T15:45:35Z,UgycJGQopkEkbIk3yDR4AaABAg,NA,NA
Hh0ioHFszOo,Hey your office is superb. I would like to apply for job.,Hey your office is superb. I would like to apply for job.,DHANUSH C,https://yt3.ggpht.com/a/AATXAJzl2uvLxUEVU6930NwLRdQIEzOdxlKKKDKOkuYELQ=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UC1Gd3UQEYnTBvv7uidanotA,UC1Gd3UQEYnTBvv7uidanotA,TRUE,none,3,2019-10-03T15:07:51Z,2019-10-03T15:07:51Z,UgxgBw_tM8r9mXrfS7J4AaABAg,NA,NA
Hh0ioHFszOo,bangga karya anak bangsa,bangga karya anak bangsa,Akhmad Furqan,https://yt3.ggpht.com/a/AATXAJzqTdmAuuLi9P58sN1rTBBOMbe1z_yAmahgkb2hPg=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCeAnkWftbjTYL8rQrqQ31BA,UCeAnkWftbjTYL8rQrqQ31BA,TRUE,none,1,2019-10-03T13:20:25Z,2019-10-03T13:20:25Z,UgxvWz0k-6RAdhl9sK54AaABAg,NA,NA
Hh0ioHFszOo,Bangga sama gojek,Bangga sama gojek,lolipop,https://yt3.ggpht.com/a/AATXAJz19EuVUvLZQz8-1-hNxHcBDEHt2fQ3rZZh2o2MOw=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCGLrIAgI7ef7YNHObjznN9A,UCGLrIAgI7ef7YNHObjznN9A,TRUE,none,1,2019-10-03T12:39:15Z,2019-10-03T12:39:15Z,UgwHLkP8H311c-o1RYZ4AaABAg,NA,NA
Hh0ioHFszOo,Mantap 👍👍👍<br />Kantornya orang-orang  kreatif.. keren bet<br />Bersama gojek pasti lelalu ada jalan mantaaap 👍🎉,"Mantap 👍👍👍
Kantornya orang-orang  kreatif.. keren bet
Bersama gojek pasti lelalu ada jalan mantaaap 👍🎉",M Fami Rahman,https://yt3.ggpht.com/a/AATXAJzijQPw2_SXwvE3Hh1LhQj4j0eJ_0149n0RRg=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCjiS2m8bfdf_cQfQP6quFQg,UCjiS2m8bfdf_cQfQP6quFQg,TRUE,none,10,2019-10-03T11:24:21Z,2019-10-03T11:24:21Z,Ugw1RDN02M16MmXspuV4AaABAg,NA,NA
Hh0ioHFszOo,"<a href=""https://career.go-jek.com/"">https://career.go-jek.com/</a>",https://career.go-jek.com/,Life at Gojek,https://yt3.ggpht.com/a/AATXAJyh3-0_EzkLPbR6yqQdsXIJq4YZBpt_U9Uo08fu=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UC6IbXmy2zEeqS7XB0f1z-Uw,UC6IbXmy2zEeqS7XB0f1z-Uw,TRUE,none,2,2019-10-04T06:05:23Z,2019-10-04T06:05:23Z,UgxgBw_tM8r9mXrfS7J4AaABAg.9-cmK1iScPC9-eO1pr-7Iv,UgxgBw_tM8r9mXrfS7J4AaABAg,NA
Hh0ioHFszOo,@RD 723 nunggu app go sex service,@RD 723 nunggu app go sex service,ido ji,https://yt3.ggpht.com/a/AATXAJx6TJs9ngWvReof4K2ERalLR1lGtH4c1cA47-zhQw=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCF0gKUFBtNV_vSfL_HWPdhg,UCF0gKUFBtNV_vSfL_HWPdhg,TRUE,none,1,2020-02-02T23:17:34Z,2020-02-02T23:17:34Z,UgxvWz0k-6RAdhl9sK54AaABAg.9-ca1CXmpEp94YnLi-uT3e,UgxvWz0k-6RAdhl9sK54AaABAg,NA
Hh0ioHFszOo,"Jangan lupa juga kalau gojek sudah menjadi manfaat bagi banyak orang, mengurangi pengangguran di Indonesia. Mau buru2 goride, jalan2 sekeluarga gocar, laper gofood, ga mau capek beres2 goclean, mau nonton mls antri Gotix, capek Gomassage. Terima kasih Gojek!!!","Jangan lupa juga kalau gojek sudah menjadi manfaat bagi banyak orang, mengurangi pengangguran di Indonesia. Mau buru2 goride, jalan2 sekeluarga gocar, laper gofood, ga mau capek beres2 goclean, mau nonton mls antri Gotix, capek Gomassage. Terima kasih Gojek!!!",RD 723,https://yt3.ggpht.com/a/AATXAJzZ2k5vnNS0AGvvvG6fevYkjb_NBsjBz08J7VwUag=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCRFBiO3-xGFfm-ICep14XGw,UCRFBiO3-xGFfm-ICep14XGw,TRUE,none,0,2019-12-13T15:11:40Z,2019-12-13T15:11:56Z,UgxvWz0k-6RAdhl9sK54AaABAg.9-ca1CXmpEp92UbCABp9vG,UgxvWz0k-6RAdhl9sK54AaABAg,NA
Hh0ioHFszOo,Karya Anak India,Karya Anak India,Ibnu Nugraha,https://yt3.ggpht.com/a/AATXAJwSD-UE-TqenFsxI1Q0eBKez5CYWfT-zWsNGJ1UwQ=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCZxly6x_DpCqlFdQGAggM7g,UCZxly6x_DpCqlFdQGAggM7g,TRUE,none,0,2019-11-27T16:50:19Z,2019-11-27T16:50:19Z,UgxvWz0k-6RAdhl9sK54AaABAg.9-ca1CXmpEp91q_llSLxJP,UgxvWz0k-6RAdhl9sK54AaABAg,NA
Hh0ioHFszOo,"R&amp;D di india, marketing di Indonesia, profit google tencent <a href=""http://jd.com/"">jd.com</a>, Jng lupa ya...","R&D di india, marketing di Indonesia, profit google tencent jd.com, Jng lupa ya...",Waluyo Is Back,https://yt3.ggpht.com/a/AATXAJzCG76jWeexvTHHWXvhzmieWUmHBVYeez5S9sV1=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCKvJweS8MzbKrEuUze4QF1w,UCKvJweS8MzbKrEuUze4QF1w,TRUE,none,0,2019-11-03T19:37:47Z,2019-11-03T19:37:47Z,UgxvWz0k-6RAdhl9sK54AaABAg.9-ca1CXmpEp90t4rKrymCX,UgxvWz0k-6RAdhl9sK54AaABAg,NA
