video_id,publishedAt,channelId,title,description,thumbnails.default.url,thumbnails.default.width,thumbnails.default.height,thumbnails.medium.url,thumbnails.medium.width,thumbnails.medium.height,thumbnails.high.url,thumbnails.high.width,thumbnails.high.height,channelTitle,liveBroadcastContent,publishTime
g3QTJS-08Kw,2020-09-30T01:15:01Z,UClLFIPo-k8q9FrPItzfmdGA,GOJEK GACOR DENGAN POLA ALGORITMA,gojekalgoritma #gojekgacor #gopartner.,https://i.ytimg.com/vi/g3QTJS-08Kw/default.jpg,120,90,https://i.ytimg.com/vi/g3QTJS-08Kw/mqdefault.jpg,320,180,https://i.ytimg.com/vi/g3QTJS-08Kw/hqdefault.jpg,480,360,Ronald Sng,none,2020-09-30T01:15:01Z
b7K9lUfuEGs,2020-09-03T12:20:57Z,UCcN8wGTpYB9QmF8xOvRACUg,GOJEK GACOR || TIPS BUAT AKUN GOJEK SUPER GAGU,,https://i.ytimg.com/vi/b7K9lUfuEGs/default.jpg,120,90,https://i.ytimg.com/vi/b7K9lUfuEGs/mqdefault.jpg,320,180,https://i.ytimg.com/vi/b7K9lUfuEGs/hqdefault.jpg,480,360,bang ipin gojek,none,2020-09-03T12:20:57Z
17RmqoTanuE,2019-11-01T13:43:09Z,UC5BMIWZe9isJXLZZWPWvBlg,POLLING#4: Driver Gojek 001 Sahabat Mas Menteri Nadiem Makarim,Pak Mulyono atau lebih akrab disapa Pak Kumizz merupakan driver mitra Gojek pertama sejak awal mula startup Gojek dibuka pertama kali oleh Nadiem ...,https://i.ytimg.com/vi/17RmqoTanuE/default.jpg,120,90,https://i.ytimg.com/vi/17RmqoTanuE/mqdefault.jpg,320,180,https://i.ytimg.com/vi/17RmqoTanuE/hqdefault.jpg,480,360,KOMPASTV,none,2019-11-01T13:43:09Z
1hWD5_7XMdQ,2018-08-05T16:20:06Z,UC_CerLv3EQf43QFyY9-h_VA,CARA ISI SALDO GOPAY lewat ATM BRI | TOP UP GOPAY GOJEK,GOPAY MERUPAKAN ALAT PEMBAYARAN DI APLIKASI GOJEK. MENGISI SALDO GOPAY DAPAT DILAKUKAN MELALUI ATM BANK BRI. CARA NYA ...,https://i.ytimg.com/vi/1hWD5_7XMdQ/default.jpg,120,90,https://i.ytimg.com/vi/1hWD5_7XMdQ/mqdefault.jpg,320,180,https://i.ytimg.com/vi/1hWD5_7XMdQ/hqdefault.jpg,480,360,Sandi Prayoga,none,2018-08-05T16:20:06Z
TMSezy4C2gI,2016-11-04T14:22:44Z,UCqP4EXqxHPa6XIQEzvVzA9g,Cara Daftar jadi Driver Gojek via Online,"Cara daftar menjadi driver gojek via online. Buat temen-temen yang ingin menjadi driver gojek, silahkan daftar melalui formulir online di : http://go-ride.co.id/join ...",https://i.ytimg.com/vi/TMSezy4C2gI/default.jpg,120,90,https://i.ytimg.com/vi/TMSezy4C2gI/mqdefault.jpg,320,180,https://i.ytimg.com/vi/TMSezy4C2gI/hqdefault.jpg,480,360,Info Lowongan Kerja Terbaru,none,2016-11-04T14:22:44Z
L0dWI-ZU2h4,2020-10-27T18:16:49Z,UCtMgzkF-XMfqIWgxwA3gVGg,Aplikasi pendukung gopartner//Gojek dan Grab,"Aplikasi ini untuk mengunci GPS agar lebih akurat, di gopartner sangat penting GPS atau lokasi, klo GPS abu abu akan susah mendapatkan order atau tidak ...",https://i.ytimg.com/vi/L0dWI-ZU2h4/default.jpg,120,90,https://i.ytimg.com/vi/L0dWI-ZU2h4/mqdefault.jpg,320,180,https://i.ytimg.com/vi/L0dWI-ZU2h4/hqdefault.jpg,480,360,Rowo CS,none,2020-10-27T18:16:49Z
n0CF8fB5e1I,2018-08-29T22:45:00Z,UCPgrYeWcpOkyejYpKWf22zQ,"Upin ipin jadi Gojek , Dapet duit banyak GTA Lucu",Upin ipin jadi Gojek waduh upin ipin seneng kali yaa Upin ipin jadi Gojek hehe jadi Upin ipin jadi Gojek nih guys pasti seru yaudah kita tontotn aja yaa Kalo ...,https://i.ytimg.com/vi/n0CF8fB5e1I/default.jpg,120,90,https://i.ytimg.com/vi/n0CF8fB5e1I/mqdefault.jpg,320,180,https://i.ytimg.com/vi/n0CF8fB5e1I/hqdefault.jpg,480,360,Maul Ibra,none,2018-08-29T22:45:00Z
WtfEEGojVD0,2020-10-02T08:29:33Z,UCDZ_emKk_Zo8RngNOJ2twIw,BAWA PASIEN PAKE MOBIL PRIBADI (GOJEK CAR) | HELP EMERGENCY CAR,Instagram :https://www.instagram.com/sumagodin/ إِنَّا لِلَّٰهِ وَإِنَّ إِلَيْهِ رَاجِعُونَ اَللّٰهُمَّ اغْفِرْلَهَا وَارْحَمْهَا وَعَافِهَا وَاعْفُ عَنْهَا خَيْرُ الناسِ أَنفَعُهُم لِلنَّاسِ “Sebaik-baik manusia adalah ...,https://i.ytimg.com/vi/WtfEEGojVD0/default.jpg,120,90,https://i.ytimg.com/vi/WtfEEGojVD0/mqdefault.jpg,320,180,https://i.ytimg.com/vi/WtfEEGojVD0/hqdefault.jpg,480,360,SUMAGODIN,none,2020-10-02T08:29:33Z
IH-EjbEJFJk,2020-10-30T12:15:37Z,UCqOcovSB1yJc0dNvVc8zyfw,GOJEK GACOR | Memahami sistem kinerja dan riwayat gojek gacor,"Hey guys. Ternyata kadang kita lupa bahwa cara untuk membuat akun gopartner gacor ternyata sudah ada di aplikasi gopartner, begitupun pola kinerja kita, ...",https://i.ytimg.com/vi/IH-EjbEJFJk/default.jpg,120,90,https://i.ytimg.com/vi/IH-EjbEJFJk/mqdefault.jpg,320,180,https://i.ytimg.com/vi/IH-EjbEJFJk/hqdefault.jpg,480,360,Hey Project,none,2020-10-30T12:15:37Z
FZ5vhTClxyc,2019-12-13T04:30:00Z,UC2ilLcjgCNh60FevRx4FRtg,PESAWAT TERBESAR ANGKUT PULUHAN LAMBORGHINI - GTA 5 GOJEK KOCAK,"Apakah Bisa Pesawat terbesar ini mengangkut lamborghini, yuk tonton videonya sampe habis ya karna bakal terjadi banyak keseruan dan kekocakan.",https://i.ytimg.com/vi/FZ5vhTClxyc/default.jpg,120,90,https://i.ytimg.com/vi/FZ5vhTClxyc/mqdefault.jpg,320,180,https://i.ytimg.com/vi/FZ5vhTClxyc/hqdefault.jpg,480,360,Pratama Eriz,none,2019-12-13T04:30:00Z
